productId,productName,productPrice,productSite,productUrl
302229-11P,ONE Blå White Portion,289.9,snusbolaget.se,https://www.snusbolaget.se/snus/one-bla-white-portion,26.354545454545452,11
302554-11P,ZYN Dry Bellini Mini All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/zyn-dry-bellini-mini-all-white-portion,34.53636363636363,11
301307-11P,LYFT Ice Cool Strong Mint Slim All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/lyft-ice-cool-strong-mint-slim-all-white-portion,34.53636363636363,11
302484-5P,Klint Liquorice Slim Strong All White Portion,99.0,snusbolaget.se,https://www.snusbolaget.se/snus/klint-liquorice-slim-strong-all-white-portion,19.8,5
302446-11P,LYFT Tokyo Zing Strong All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/lyft-tokyo-zing-strong-all-white-portion,34.53636363636363,11
302547-10P,Göteborgs Rapé West Coast IPA White Portion,439.9,snusbolaget.se,https://www.snusbolaget.se/snus/goteborgs-rape-west-coast-ipa-white-portion,43.989999999999995,10
302447-10P,LYFT Morning Bloom Limited Edition All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/lyft-morning-bloom-limited-edition-all-white-portion,37.989999999999995,10
302556-5P,VOLT Java Shake Slim Extra Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-java-shake-slim-extra-strong-all-white-portion,29.98,5
302557-5P,Swave Cuba Libre Slim Strong All White Portion,159.9,snusbolaget.se,https://www.snusbolaget.se/snus/swave-cuba-libre-slim-strong-all-white-portion,31.98,5
302448-10P,LYFT Midsummer Night Limited Edition Strong All White Portion,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/lyft-midsummer-night-limited-edition-strong-all-white-portion,37.989999999999995,10
302445-10P,Lundgrens Skärgården White Portion,292.9,snusbolaget.se,https://www.snusbolaget.se/snus/lundgrens-skargarden-white-portion,29.29,10
302578-15P,Loop Jalapeno Lime Slim Extra Strong All White Portion,499.9,snusbolaget.se,https://www.snusbolaget.se/snus/loop-jalapeno-lime-slim-extra-strong-all-white-portion,33.32666666666667,15
302548-5P,VOLT Java Shake Slim All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-java-shake-slim-all-white-portion,29.98,5
302544-15P,Loop Mango Tango Slim Strong All White Portion,499.9,snusbolaget.se,https://www.snusbolaget.se/snus/loop-mango-tango-slim-strong-all-white-portion,33.32666666666667,15
302553-5P,VOLT Dark Frost Slim Extra Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-dark-frost-slim-extra-strong-all-white-portion,29.98,5
302549-5P,VOLT Spearmint Breeze Slim Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-spearmint-breeze-slim-strong-all-white-portion,29.98,5
302605-10P,Nordic Spirit Melon Square All White Portion,329.9,snusbolaget.se,https://www.snusbolaget.se/snus/nordic-spirit-melon-square-slim-all-white-portion,32.989999999999995,10
302007-11P,ZYN Spearmint Mini Dry,379.9,snusbolaget.se,https://www.snusbolaget.se/snus/zyn-spearmint-mini-dry-30-pack,34.53636363636363,11
302550-5P,VOLT Cool Crisp Slim Extra Strong All White Portion,149.9,snusbolaget.se,https://www.snusbolaget.se/snus/volt-cool-crisp-slim-extra-strong-all-white-portion,29.98,5
